Configuración utilizada:
Operador de selección: Por Torneo con tamaño de torneo: 4 individuos
Operador de cruce: Cruce de arcos
Operador de mutación: Mutación por Inversión
Selector de sobrevivientes: Steady State con reemplazo de 5
Fitness mejor solución:    39.0
Costo promedio (Población): 39,00
Tiempo total de ejecución: 285.0 ms
Tiempo promedio por generación: 0,29 ms

Evolución del Fitness en el tiempoMejor fitness en teración 1: 84.0
Mejor fitness en teración 2: 72.0
Mejor fitness en teración 3: 65.0
Mejor fitness en teración 4: 61.0
Mejor fitness en teración 5: 60.0
Mejor fitness en teración 6: 55.0
Mejor fitness en teración 7: 53.0
Mejor fitness en teración 8: 47.0
Mejor fitness en teración 9: 46.0
Mejor fitness en teración 10: 40.0
Mejor fitness en teración 11: 40.0
Mejor fitness en teración 12: 39.0
Mejor fitness en teración 13: 39.0
Mejor fitness en teración 14: 39.0
Mejor fitness en teración 15: 39.0
Mejor fitness en teración 16: 39.0
Mejor fitness en teración 17: 39.0
Mejor fitness en teración 18: 39.0
Mejor fitness en teración 19: 39.0
Mejor fitness en teración 20: 39.0
Mejor fitness en teración 21: 39.0
Mejor fitness en teración 22: 39.0
Mejor fitness en teración 23: 39.0
Mejor fitness en teración 24: 39.0
Mejor fitness en teración 25: 39.0
Mejor fitness en teración 26: 39.0
Mejor fitness en teración 27: 39.0
Mejor fitness en teración 28: 39.0
Mejor fitness en teración 29: 39.0
Mejor fitness en teración 30: 39.0
Mejor fitness en teración 31: 39.0
Mejor fitness en teración 32: 39.0
Mejor fitness en teración 33: 39.0
Mejor fitness en teración 34: 39.0
Mejor fitness en teración 35: 39.0
Mejor fitness en teración 36: 39.0
Mejor fitness en teración 37: 39.0
Mejor fitness en teración 38: 39.0
Mejor fitness en teración 39: 39.0
Mejor fitness en teración 40: 39.0
Mejor fitness en teración 41: 39.0
Mejor fitness en teración 42: 39.0
Mejor fitness en teración 43: 39.0
Mejor fitness en teración 44: 39.0
Mejor fitness en teración 45: 39.0
Mejor fitness en teración 46: 39.0
Mejor fitness en teración 47: 39.0
Mejor fitness en teración 48: 39.0
Mejor fitness en teración 49: 39.0
Mejor fitness en teración 50: 39.0
Mejor fitness en teración 51: 39.0
Mejor fitness en teración 52: 39.0
Mejor fitness en teración 53: 39.0
Mejor fitness en teración 54: 39.0
Mejor fitness en teración 55: 39.0
Mejor fitness en teración 56: 39.0
Mejor fitness en teración 57: 39.0
Mejor fitness en teración 58: 39.0
Mejor fitness en teración 59: 39.0
Mejor fitness en teración 60: 39.0
Mejor fitness en teración 61: 39.0
Mejor fitness en teración 62: 39.0
Mejor fitness en teración 63: 39.0
Mejor fitness en teración 64: 39.0
Mejor fitness en teración 65: 39.0
Mejor fitness en teración 66: 39.0
Mejor fitness en teración 67: 39.0
Mejor fitness en teración 68: 39.0
Mejor fitness en teración 69: 39.0
Mejor fitness en teración 70: 39.0
Mejor fitness en teración 71: 39.0
Mejor fitness en teración 72: 39.0
Mejor fitness en teración 73: 39.0
Mejor fitness en teración 74: 39.0
Mejor fitness en teración 75: 39.0
Mejor fitness en teración 76: 39.0
Mejor fitness en teración 77: 39.0
Mejor fitness en teración 78: 39.0
Mejor fitness en teración 79: 39.0
Mejor fitness en teración 80: 39.0
Mejor fitness en teración 81: 39.0
Mejor fitness en teración 82: 39.0
Mejor fitness en teración 83: 39.0
Mejor fitness en teración 84: 39.0
Mejor fitness en teración 85: 39.0
Mejor fitness en teración 86: 39.0
Mejor fitness en teración 87: 39.0
Mejor fitness en teración 88: 39.0
Mejor fitness en teración 89: 39.0
Mejor fitness en teración 90: 39.0
Mejor fitness en teración 91: 39.0
Mejor fitness en teración 92: 39.0
Mejor fitness en teración 93: 39.0
Mejor fitness en teración 94: 39.0
Mejor fitness en teración 95: 39.0
Mejor fitness en teración 96: 39.0
Mejor fitness en teración 97: 39.0
Mejor fitness en teración 98: 39.0
Mejor fitness en teración 99: 39.0
Mejor fitness en teración 100: 39.0
Mejor fitness en teración 101: 39.0
Mejor fitness en teración 102: 39.0
Mejor fitness en teración 103: 39.0
Mejor fitness en teración 104: 39.0
Mejor fitness en teración 105: 39.0
Mejor fitness en teración 106: 39.0
Mejor fitness en teración 107: 39.0
Mejor fitness en teración 108: 39.0
Mejor fitness en teración 109: 39.0
Mejor fitness en teración 110: 39.0
Mejor fitness en teración 111: 39.0
Mejor fitness en teración 112: 39.0
Mejor fitness en teración 113: 39.0
Mejor fitness en teración 114: 39.0
Mejor fitness en teración 115: 39.0
Mejor fitness en teración 116: 39.0
Mejor fitness en teración 117: 39.0
Mejor fitness en teración 118: 39.0
Mejor fitness en teración 119: 39.0
Mejor fitness en teración 120: 39.0
Mejor fitness en teración 121: 39.0
Mejor fitness en teración 122: 39.0
Mejor fitness en teración 123: 39.0
Mejor fitness en teración 124: 39.0
Mejor fitness en teración 125: 39.0
Mejor fitness en teración 126: 39.0
Mejor fitness en teración 127: 39.0
Mejor fitness en teración 128: 39.0
Mejor fitness en teración 129: 39.0
Mejor fitness en teración 130: 39.0
Mejor fitness en teración 131: 39.0
