Configuración utilizada:
Operador de selección: Por Ruleta
Operador de cruce: Cruce de Orden
Operador de mutación: Mutación por intercambio (2). Probabilidad: 0.1
Selector de sobrevivientes: Steady State con reemplazo de 25
Fitness mejor solución:    5830.0
Costo promedio (Población): 5952,36
Tiempo total de ejecución: 885.0 ms
Tiempo promedio por generación: 0,89 ms

Evolución del Fitness en el tiempoMejor fitness en iteración 1: 17187.0
Mejor fitness en iteración 151: 5990.0
Mejor fitness en iteración 152: 5999.0
Mejor fitness en iteración 153: 5999.0
Mejor fitness en iteración 154: 5999.0
Mejor fitness en iteración 155: 5999.0
Mejor fitness en iteración 156: 5999.0
Mejor fitness en iteración 157: 5999.0
Mejor fitness en iteración 158: 5999.0
Mejor fitness en iteración 159: 5986.0
Mejor fitness en iteración 160: 5999.0
Mejor fitness en iteración 161: 5979.0
Mejor fitness en iteración 162: 5995.0
Mejor fitness en iteración 163: 5965.0
Mejor fitness en iteración 164: 5995.0
Mejor fitness en iteración 165: 5995.0
Mejor fitness en iteración 166: 5995.0
Mejor fitness en iteración 167: 5959.0
Mejor fitness en iteración 168: 5959.0
Mejor fitness en iteración 169: 5959.0
Mejor fitness en iteración 170: 5940.0
Mejor fitness en iteración 171: 5940.0
Mejor fitness en iteración 172: 5940.0
Mejor fitness en iteración 173: 5940.0
Mejor fitness en iteración 174: 5940.0
Mejor fitness en iteración 175: 5955.0
Mejor fitness en iteración 176: 5982.0
Mejor fitness en iteración 177: 5927.0
Mejor fitness en iteración 178: 5927.0
Mejor fitness en iteración 179: 5927.0
Mejor fitness en iteración 180: 5927.0
Mejor fitness en iteración 181: 5927.0
Mejor fitness en iteración 182: 5927.0
Mejor fitness en iteración 183: 5946.0
Mejor fitness en iteración 184: 5946.0
Mejor fitness en iteración 185: 5936.0
Mejor fitness en iteración 186: 5916.0
Mejor fitness en iteración 187: 5934.0
Mejor fitness en iteración 188: 5934.0
Mejor fitness en iteración 189: 5934.0
Mejor fitness en iteración 190: 5928.0
Mejor fitness en iteración 191: 5898.0
Mejor fitness en iteración 192: 5934.0
Mejor fitness en iteración 193: 5934.0
Mejor fitness en iteración 194: 5934.0
Mejor fitness en iteración 195: 5934.0
Mejor fitness en iteración 196: 5948.0
Mejor fitness en iteración 197: 5948.0
Mejor fitness en iteración 198: 5948.0
Mejor fitness en iteración 199: 5948.0
Mejor fitness en iteración 200: 5948.0
Mejor fitness en iteración 201: 5948.0
Mejor fitness en iteración 202: 5948.0
Mejor fitness en iteración 203: 5948.0
Mejor fitness en iteración 204: 5948.0
Mejor fitness en iteración 205: 5948.0
Mejor fitness en iteración 206: 5948.0
Mejor fitness en iteración 207: 5948.0
Mejor fitness en iteración 208: 5948.0
Mejor fitness en iteración 209: 5948.0
Mejor fitness en iteración 210: 5948.0
Mejor fitness en iteración 211: 5948.0
Mejor fitness en iteración 212: 5948.0
Mejor fitness en iteración 213: 5948.0
Mejor fitness en iteración 214: 5948.0
Mejor fitness en iteración 215: 5948.0
Mejor fitness en iteración 216: 5948.0
Mejor fitness en iteración 217: 5948.0
Mejor fitness en iteración 218: 5948.0
Mejor fitness en iteración 219: 5948.0
Mejor fitness en iteración 220: 5948.0
Mejor fitness en iteración 221: 5948.0
Mejor fitness en iteración 222: 5948.0
Mejor fitness en iteración 223: 5920.0
Mejor fitness en iteración 224: 5948.0
Mejor fitness en iteración 225: 5939.0
Mejor fitness en iteración 226: 5944.0
Mejor fitness en iteración 227: 5948.0
Mejor fitness en iteración 228: 5948.0
Mejor fitness en iteración 229: 5930.0
Mejor fitness en iteración 230: 5930.0
Mejor fitness en iteración 231: 5929.0
Mejor fitness en iteración 232: 5929.0
Mejor fitness en iteración 233: 5930.0
Mejor fitness en iteración 234: 5929.0
Mejor fitness en iteración 235: 5929.0
Mejor fitness en iteración 236: 5929.0
Mejor fitness en iteración 237: 5929.0
Mejor fitness en iteración 238: 5929.0
Mejor fitness en iteración 239: 5929.0
Mejor fitness en iteración 240: 5929.0
Mejor fitness en iteración 241: 5929.0
Mejor fitness en iteración 242: 5929.0
Mejor fitness en iteración 243: 5929.0
Mejor fitness en iteración 244: 5934.0
Mejor fitness en iteración 245: 5934.0
Mejor fitness en iteración 246: 5934.0
Mejor fitness en iteración 247: 5934.0
Mejor fitness en iteración 248: 5934.0
Mejor fitness en iteración 249: 5935.0
Mejor fitness en iteración 250: 5917.0
Mejor fitness en iteración 251: 5917.0
Mejor fitness en iteración 252: 5939.0
Mejor fitness en iteración 253: 5939.0
Mejor fitness en iteración 254: 5939.0
Mejor fitness en iteración 255: 5939.0
Mejor fitness en iteración 256: 5939.0
Mejor fitness en iteración 257: 5936.0
Mejor fitness en iteración 258: 5939.0
Mejor fitness en iteración 259: 5939.0
Mejor fitness en iteración 260: 5939.0
Mejor fitness en iteración 261: 5939.0
Mejor fitness en iteración 262: 5939.0
Mejor fitness en iteración 263: 5939.0
Mejor fitness en iteración 264: 5939.0
Mejor fitness en iteración 265: 5939.0
Mejor fitness en iteración 266: 5936.0
Mejor fitness en iteración 267: 5916.0
