Configuración utilizada:
Operador de selección: Por Torneo con tamaño de torneo: 5 individuos
Operador de cruce: Cruce de Orden
Operador de mutación: Mutación por Inversión
Selector de sobrevivientes: Steady State con reemplazo de 25
Fitness mejor solución:    5635.0
Costo promedio (Población): 5635,00
Tiempo total de ejecución: 727.0 ms
Tiempo promedio por generación: 0,73 ms

Evolución del Fitness en el tiempoMejor fitness en iteración 1: 17153.0
Mejor fitness en iteración 151: 5636.0
Mejor fitness en iteración 152: 5636.0
Mejor fitness en iteración 153: 5636.0
Mejor fitness en iteración 154: 5636.0
Mejor fitness en iteración 155: 5636.0
Mejor fitness en iteración 156: 5636.0
Mejor fitness en iteración 157: 5636.0
Mejor fitness en iteración 158: 5636.0
Mejor fitness en iteración 159: 5636.0
Mejor fitness en iteración 160: 5636.0
Mejor fitness en iteración 161: 5636.0
Mejor fitness en iteración 162: 5636.0
Mejor fitness en iteración 163: 5636.0
Mejor fitness en iteración 164: 5636.0
Mejor fitness en iteración 165: 5636.0
Mejor fitness en iteración 166: 5636.0
Mejor fitness en iteración 167: 5636.0
Mejor fitness en iteración 168: 5636.0
Mejor fitness en iteración 169: 5636.0
Mejor fitness en iteración 170: 5636.0
Mejor fitness en iteración 171: 5636.0
Mejor fitness en iteración 172: 5636.0
Mejor fitness en iteración 173: 5636.0
Mejor fitness en iteración 174: 5636.0
Mejor fitness en iteración 175: 5636.0
Mejor fitness en iteración 176: 5636.0
Mejor fitness en iteración 177: 5636.0
Mejor fitness en iteración 178: 5636.0
Mejor fitness en iteración 179: 5636.0
Mejor fitness en iteración 180: 5636.0
Mejor fitness en iteración 181: 5635.0
Mejor fitness en iteración 182: 5635.0
Mejor fitness en iteración 183: 5635.0
Mejor fitness en iteración 184: 5635.0
Mejor fitness en iteración 185: 5635.0
Mejor fitness en iteración 186: 5635.0
Mejor fitness en iteración 187: 5635.0
Mejor fitness en iteración 188: 5635.0
Mejor fitness en iteración 189: 5635.0
Mejor fitness en iteración 190: 5635.0
Mejor fitness en iteración 191: 5635.0
Mejor fitness en iteración 192: 5635.0
Mejor fitness en iteración 193: 5635.0
Mejor fitness en iteración 194: 5635.0
Mejor fitness en iteración 195: 5635.0
Mejor fitness en iteración 196: 5635.0
Mejor fitness en iteración 197: 5635.0
Mejor fitness en iteración 198: 5635.0
Mejor fitness en iteración 199: 5635.0
Mejor fitness en iteración 200: 5635.0
Mejor fitness en iteración 201: 5635.0
Mejor fitness en iteración 202: 5635.0
Mejor fitness en iteración 203: 5635.0
Mejor fitness en iteración 204: 5635.0
Mejor fitness en iteración 205: 5635.0
Mejor fitness en iteración 206: 5635.0
Mejor fitness en iteración 207: 5635.0
Mejor fitness en iteración 208: 5635.0
Mejor fitness en iteración 209: 5635.0
Mejor fitness en iteración 210: 5635.0
Mejor fitness en iteración 211: 5635.0
Mejor fitness en iteración 212: 5635.0
Mejor fitness en iteración 213: 5635.0
Mejor fitness en iteración 214: 5635.0
Mejor fitness en iteración 215: 5635.0
