Configuración utilizada:
Operador de selección: Por Torneo con tamaño de torneo: 2 individuos
Operador de cruce: Cruce de Orden
Operador de mutación: Mutación por Inversión. Probabilidad: 0.4
Selector de sobrevivientes: Reemplazo Total (Hijos por Padres)
Fitness mejor solución:    6223.0
Costo promedio (Población): 8711,14
Tiempo total de ejecución: 1507.0 ms
Tiempo promedio por generación: 1,51 ms

Evolución del Fitness en el tiempoMejor fitness en iteración 1: 17150.0 Diferencia: -11276.0
Mejor fitness en iteración 2: 11824.0 Diferencia: -16451.0
Mejor fitness en iteración 3: 11840.0 Diferencia: -16434.0
Mejor fitness en iteración 4: 6386.0 Diferencia: -21942.0
Mejor fitness en iteración 5: 6831.0 Diferencia: -21344.0
Mejor fitness en iteración 6: 6530.0 Diferencia: -21599.0
Mejor fitness en iteración 7: 6355.0 Diferencia: -21725.0
Mejor fitness en iteración 8: 6350.0 Diferencia: -21829.0
Mejor fitness en iteración 9: 6298.0 Diferencia: -21792.0
Mejor fitness en iteración 10: 6449.0 Diferencia: -21301.0
Mejor fitness en iteración 11: 6333.0 Diferencia: -21386.0
Mejor fitness en iteración 12: 6223.0 Diferencia: -16694.0
Mejor fitness en iteración 13: 6220.0 Diferencia: -21735.0
Mejor fitness en iteración 14: 6293.0 Diferencia: -16428.0
Mejor fitness en iteración 15: 6327.0 Diferencia: -16593.0
Mejor fitness en iteración 16: 6260.0 Diferencia: -16381.0
Mejor fitness en iteración 17: 6249.0 Diferencia: -16449.0
Mejor fitness en iteración 18: 6161.0 Diferencia: -16572.0
Mejor fitness en iteración 19: 6203.0 Diferencia: -16411.0
Mejor fitness en iteración 20: 6213.0 Diferencia: -21959.0
Mejor fitness en iteración 21: 6203.0 Diferencia: -11154.0
Mejor fitness en iteración 22: 6254.0 Diferencia: -16318.0
Mejor fitness en iteración 23: 6236.0 Diferencia: -16325.0
Mejor fitness en iteración 24: 6219.0 Diferencia: -16286.0
Mejor fitness en iteración 25: 6177.0 Diferencia: -16450.0
Mejor fitness en iteración 26: 6170.0 Diferencia: -16688.0
Mejor fitness en iteración 27: 6158.0 Diferencia: -11357.0
Mejor fitness en iteración 28: 6144.0 Diferencia: -11485.0
Mejor fitness en iteración 29: 6078.0 Diferencia: -11464.0
Mejor fitness en iteración 30: 6100.0 Diferencia: -11358.0
Mejor fitness en iteración 31: 6152.0 Diferencia: -11175.0
Mejor fitness en iteración 32: 6128.0 Diferencia: -11425.0
Mejor fitness en iteración 33: 6116.0 Diferencia: -16221.0
Mejor fitness en iteración 34: 6136.0 Diferencia: -16091.0
Mejor fitness en iteración 35: 6180.0 Diferencia: -11288.0
Mejor fitness en iteración 36: 6233.0 Diferencia: -11290.0
Mejor fitness en iteración 37: 6136.0 Diferencia: -11400.0
Mejor fitness en iteración 38: 6137.0 Diferencia: -11213.0
Mejor fitness en iteración 39: 6156.0 Diferencia: -16363.0
Mejor fitness en iteración 40: 6203.0 Diferencia: -11280.0
Mejor fitness en iteración 41: 6193.0 Diferencia: -11188.0
Mejor fitness en iteración 42: 6150.0 Diferencia: -11128.0
Mejor fitness en iteración 43: 6182.0 Diferencia: -11089.0
Mejor fitness en iteración 44: 6114.0 Diferencia: -11399.0
Mejor fitness en iteración 45: 6163.0 Diferencia: -11389.0
Mejor fitness en iteración 46: 6106.0 Diferencia: -11234.0
Mejor fitness en iteración 47: 6070.0 Diferencia: -11208.0
Mejor fitness en iteración 48: 6141.0 Diferencia: -11056.0
Mejor fitness en iteración 49: 6164.0 Diferencia: -11283.0
Mejor fitness en iteración 50: 6199.0 Diferencia: -11152.0
Mejor fitness en iteración 51: 6161.0 Diferencia: -16233.0
Mejor fitness en iteración 52: 6145.0 Diferencia: -11119.0
Mejor fitness en iteración 53: 6135.0 Diferencia: -11335.0
Mejor fitness en iteración 54: 6051.0 Diferencia: -11401.0
Mejor fitness en iteración 55: 6161.0 Diferencia: -16653.0
Mejor fitness en iteración 56: 6171.0 Diferencia: -11346.0
Mejor fitness en iteración 57: 6147.0 Diferencia: -16620.0
Mejor fitness en iteración 58: 6169.0 Diferencia: -11307.0
Mejor fitness en iteración 59: 6199.0 Diferencia: -11360.0
Mejor fitness en iteración 60: 6205.0 Diferencia: -11253.0
Mejor fitness en iteración 61: 6159.0 Diferencia: -11167.0
Mejor fitness en iteración 62: 6207.0 Diferencia: -11164.0
Mejor fitness en iteración 63: 6147.0 Diferencia: -11400.0
Mejor fitness en iteración 64: 6109.0 Diferencia: -11509.0
Mejor fitness en iteración 65: 6117.0 Diferencia: -11209.0
Mejor fitness en iteración 66: 6042.0 Diferencia: -16212.0
Mejor fitness en iteración 67: 6077.0 Diferencia: -11335.0
Mejor fitness en iteración 68: 6081.0 Diferencia: -11245.0
Mejor fitness en iteración 69: 6076.0 Diferencia: -11079.0
Mejor fitness en iteración 70: 6063.0 Diferencia: -11111.0
Mejor fitness en iteración 71: 6084.0 Diferencia: -11097.0
Mejor fitness en iteración 72: 6122.0 Diferencia: -11187.0
Mejor fitness en iteración 73: 6099.0 Diferencia: -16643.0
Mejor fitness en iteración 74: 6066.0 Diferencia: -16459.0
Mejor fitness en iteración 75: 6162.0 Diferencia: -16323.0
Mejor fitness en iteración 76: 6139.0 Diferencia: -16324.0
Mejor fitness en iteración 77: 6159.0 Diferencia: -11566.0
Mejor fitness en iteración 78: 6084.0 Diferencia: -16512.0
Mejor fitness en iteración 79: 6172.0 Diferencia: -11088.0
Mejor fitness en iteración 80: 6137.0 Diferencia: -11519.0
Mejor fitness en iteración 81: 6105.0 Diferencia: -11196.0
Mejor fitness en iteración 82: 6177.0 Diferencia: -11196.0
Mejor fitness en iteración 83: 6193.0 Diferencia: -16102.0
Mejor fitness en iteración 84: 6152.0 Diferencia: -16206.0
Mejor fitness en iteración 85: 6168.0 Diferencia: -10992.0
Mejor fitness en iteración 86: 6132.0 Diferencia: -11177.0
Mejor fitness en iteración 87: 6103.0 Diferencia: -11131.0
Mejor fitness en iteración 88: 6102.0 Diferencia: -11060.0
Mejor fitness en iteración 89: 6068.0 Diferencia: -11374.0
Mejor fitness en iteración 90: 6035.0 Diferencia: -11152.0
Mejor fitness en iteración 91: 6037.0 Diferencia: -11128.0
Mejor fitness en iteración 92: 6055.0 Diferencia: -11016.0
Mejor fitness en iteración 93: 6062.0 Diferencia: -16190.0
Mejor fitness en iteración 94: 6092.0 Diferencia: -11157.0
Mejor fitness en iteración 95: 6099.0 Diferencia: -11138.0
Mejor fitness en iteración 96: 6087.0 Diferencia: -11526.0
Mejor fitness en iteración 97: 6119.0 Diferencia: -11198.0
Mejor fitness en iteración 98: 6059.0 Diferencia: -11247.0
Mejor fitness en iteración 99: 6026.0 Diferencia: -11296.0
Mejor fitness en iteración 100: 6105.0 Diferencia: -11248.0
Mejor fitness en iteración 101: 6160.0 Diferencia: -11247.0
Mejor fitness en iteración 102: 6169.0 Diferencia: -11199.0
Mejor fitness en iteración 103: 6144.0 Diferencia: -11199.0
Mejor fitness en iteración 104: 6104.0 Diferencia: -11151.0
Mejor fitness en iteración 105: 6138.0 Diferencia: -11160.0
Mejor fitness en iteración 106: 6150.0 Diferencia: -11199.0
Mejor fitness en iteración 107: 6164.0 Diferencia: -10950.0
Mejor fitness en iteración 108: 6231.0 Diferencia: -11123.0
Mejor fitness en iteración 109: 6247.0 Diferencia: -11253.0
Mejor fitness en iteración 110: 6185.0 Diferencia: -11197.0
Mejor fitness en iteración 111: 6134.0 Diferencia: -11231.0
Mejor fitness en iteración 112: 6173.0 Diferencia: -16258.0
Mejor fitness en iteración 113: 6111.0 Diferencia: -16545.0
Mejor fitness en iteración 114: 6100.0 Diferencia: -11147.0
Mejor fitness en iteración 115: 6143.0 Diferencia: -16475.0
Mejor fitness en iteración 116: 6181.0 Diferencia: -11143.0
Mejor fitness en iteración 117: 6115.0 Diferencia: -11262.0
Mejor fitness en iteración 118: 6183.0 Diferencia: -11099.0
Mejor fitness en iteración 119: 6160.0 Diferencia: -11226.0
Mejor fitness en iteración 120: 6214.0 Diferencia: -16464.0
Mejor fitness en iteración 121: 6184.0 Diferencia: -11290.0
Mejor fitness en iteración 122: 6154.0 Diferencia: -11181.0
Mejor fitness en iteración 123: 6119.0 Diferencia: -11287.0
Mejor fitness en iteración 124: 6160.0 Diferencia: -11406.0
Mejor fitness en iteración 125: 6172.0 Diferencia: -11184.0
Mejor fitness en iteración 126: 6216.0 Diferencia: -11043.0
Mejor fitness en iteración 127: 6147.0 Diferencia: -11291.0
Mejor fitness en iteración 128: 6139.0 Diferencia: -11094.0
Mejor fitness en iteración 129: 6154.0 Diferencia: -10953.0
Mejor fitness en iteración 130: 6153.0 Diferencia: -11051.0
Mejor fitness en iteración 131: 6149.0 Diferencia: -16402.0
Mejor fitness en iteración 132: 6168.0 Diferencia: -11111.0
Mejor fitness en iteración 133: 6018.0 Diferencia: -11367.0
Mejor fitness en iteración 134: 6026.0 Diferencia: -11410.0
Mejor fitness en iteración 135: 6151.0 Diferencia: -11246.0
Mejor fitness en iteración 136: 6111.0 Diferencia: -11069.0
Mejor fitness en iteración 137: 6087.0 Diferencia: -16137.0
Mejor fitness en iteración 138: 6150.0 Diferencia: -11026.0
Mejor fitness en iteración 139: 6166.0 Diferencia: -11181.0
Mejor fitness en iteración 140: 6097.0 Diferencia: -16331.0
Mejor fitness en iteración 141: 6104.0 Diferencia: -11173.0
Mejor fitness en iteración 142: 6070.0 Diferencia: -11293.0
Mejor fitness en iteración 143: 6092.0 Diferencia: -11192.0
Mejor fitness en iteración 144: 6071.0 Diferencia: -11136.0
Mejor fitness en iteración 145: 6069.0 Diferencia: -11142.0
Mejor fitness en iteración 146: 6067.0 Diferencia: -16215.0
Mejor fitness en iteración 147: 6072.0 Diferencia: -11287.0
Mejor fitness en iteración 148: 6164.0 Diferencia: -11025.0
Mejor fitness en iteración 149: 6148.0 Diferencia: -11145.0
Mejor fitness en iteración 150: 6144.0 Diferencia: -10857.0
Mejor fitness en iteración 151: 6052.0 Diferencia: -11094.0
Mejor fitness en iteración 152: 6063.0 Diferencia: -11150.0
Mejor fitness en iteración 153: 6084.0 Diferencia: -11234.0
Mejor fitness en iteración 154: 6056.0 Diferencia: -16542.0
Mejor fitness en iteración 155: 6101.0 Diferencia: -11102.0
Mejor fitness en iteración 156: 6125.0 Diferencia: -11310.0
Mejor fitness en iteración 157: 6019.0 Diferencia: -11258.0
Mejor fitness en iteración 158: 6111.0 Diferencia: -11189.0
Mejor fitness en iteración 159: 6157.0 Diferencia: -11386.0
Mejor fitness en iteración 160: 6149.0 Diferencia: -11297.0
Mejor fitness en iteración 161: 6159.0 Diferencia: -11331.0
Mejor fitness en iteración 162: 6172.0 Diferencia: -16301.0
Mejor fitness en iteración 163: 6129.0 Diferencia: -10959.0
Mejor fitness en iteración 164: 6037.0 Diferencia: -11206.0
Mejor fitness en iteración 165: 6073.0 Diferencia: -11287.0
Mejor fitness en iteración 166: 6119.0 Diferencia: -11146.0
Mejor fitness en iteración 167: 6130.0 Diferencia: -11092.0
Mejor fitness en iteración 168: 6098.0 Diferencia: -11156.0
Mejor fitness en iteración 169: 6098.0 Diferencia: -16316.0
Mejor fitness en iteración 170: 6120.0 Diferencia: -11197.0
Mejor fitness en iteración 171: 6155.0 Diferencia: -11199.0
Mejor fitness en iteración 172: 6145.0 Diferencia: -11418.0
Mejor fitness en iteración 173: 6089.0 Diferencia: -11271.0
Mejor fitness en iteración 174: 6135.0 Diferencia: -16315.0
Mejor fitness en iteración 175: 6184.0 Diferencia: -11303.0
Mejor fitness en iteración 176: 6195.0 Diferencia: -11133.0
Mejor fitness en iteración 177: 6200.0 Diferencia: -11157.0
Mejor fitness en iteración 178: 6142.0 Diferencia: -16411.0
Mejor fitness en iteración 179: 6150.0 Diferencia: -11510.0
Mejor fitness en iteración 180: 6158.0 Diferencia: -11311.0
Mejor fitness en iteración 181: 6136.0 Diferencia: -11317.0
Mejor fitness en iteración 182: 6145.0 Diferencia: -16491.0
Mejor fitness en iteración 183: 6138.0 Diferencia: -11400.0
Mejor fitness en iteración 184: 6085.0 Diferencia: -11317.0
Mejor fitness en iteración 185: 6083.0 Diferencia: -11375.0
Mejor fitness en iteración 186: 6116.0 Diferencia: -11286.0
Mejor fitness en iteración 187: 6134.0 Diferencia: -11246.0
Mejor fitness en iteración 188: 6095.0 Diferencia: -16549.0
Mejor fitness en iteración 189: 6055.0 Diferencia: -16740.0
Mejor fitness en iteración 190: 6082.0 Diferencia: -16745.0
Mejor fitness en iteración 191: 6147.0 Diferencia: -11147.0
Mejor fitness en iteración 192: 6117.0 Diferencia: -11181.0
Mejor fitness en iteración 193: 6087.0 Diferencia: -11506.0
Mejor fitness en iteración 194: 6122.0 Diferencia: -11287.0
Mejor fitness en iteración 195: 6084.0 Diferencia: -11431.0
Mejor fitness en iteración 196: 6112.0 Diferencia: -11298.0
Mejor fitness en iteración 197: 6098.0 Diferencia: -11243.0
Mejor fitness en iteración 198: 6098.0 Diferencia: -11153.0
