Configuración utilizada:
Operador de selección: Por Torneo con tamaño de torneo: 5 individuos
Operador de cruce: Cruce de arcos
Operador de mutación: Mutación por Inversión
Selector de sobrevivientes: Steady State con reemplazo de 25
Fitness mejor solución:    5655.0
Costo promedio (Población): 5663,52
Tiempo total de ejecución: 792.0 ms
Tiempo promedio por generación: 0,79 ms

Evolución del Fitness en el tiempoMejor fitness en iteración 1: 11971.0
Mejor fitness en iteración 2: 11801.0
Mejor fitness en iteración 3: 6612.0
Mejor fitness en iteración 4: 6304.0
Mejor fitness en iteración 5: 6304.0
Mejor fitness en iteración 6: 6234.0
Mejor fitness en iteración 7: 6211.0
Mejor fitness en iteración 8: 6137.0
Mejor fitness en iteración 9: 6127.0
Mejor fitness en iteración 10: 6105.0
Mejor fitness en iteración 11: 6082.0
Mejor fitness en iteración 12: 6075.0
Mejor fitness en iteración 13: 5968.0
Mejor fitness en iteración 14: 5968.0
Mejor fitness en iteración 15: 5959.0
Mejor fitness en iteración 16: 5958.0
Mejor fitness en iteración 17: 5940.0
Mejor fitness en iteración 18: 5940.0
Mejor fitness en iteración 19: 5940.0
Mejor fitness en iteración 20: 5940.0
Mejor fitness en iteración 21: 5934.0
Mejor fitness en iteración 22: 5934.0
Mejor fitness en iteración 23: 5934.0
Mejor fitness en iteración 24: 5934.0
Mejor fitness en iteración 25: 5928.0
Mejor fitness en iteración 26: 5926.0
Mejor fitness en iteración 27: 5926.0
Mejor fitness en iteración 28: 5926.0
Mejor fitness en iteración 29: 5926.0
Mejor fitness en iteración 30: 5919.0
Mejor fitness en iteración 31: 5917.0
Mejor fitness en iteración 32: 5893.0
Mejor fitness en iteración 33: 5893.0
Mejor fitness en iteración 34: 5889.0
Mejor fitness en iteración 35: 5889.0
Mejor fitness en iteración 36: 5889.0
Mejor fitness en iteración 37: 5889.0
Mejor fitness en iteración 38: 5889.0
Mejor fitness en iteración 39: 5889.0
Mejor fitness en iteración 40: 5889.0
Mejor fitness en iteración 41: 5889.0
Mejor fitness en iteración 42: 5889.0
Mejor fitness en iteración 43: 5889.0
Mejor fitness en iteración 44: 5889.0
Mejor fitness en iteración 45: 5889.0
Mejor fitness en iteración 46: 5889.0
Mejor fitness en iteración 47: 5889.0
Mejor fitness en iteración 48: 5889.0
Mejor fitness en iteración 49: 5889.0
Mejor fitness en iteración 50: 5877.0
Mejor fitness en iteración 51: 5877.0
Mejor fitness en iteración 52: 5875.0
Mejor fitness en iteración 53: 5871.0
Mejor fitness en iteración 54: 5863.0
Mejor fitness en iteración 55: 5863.0
Mejor fitness en iteración 56: 5861.0
Mejor fitness en iteración 57: 5861.0
Mejor fitness en iteración 58: 5861.0
Mejor fitness en iteración 59: 5861.0
Mejor fitness en iteración 60: 5849.0
Mejor fitness en iteración 61: 5837.0
Mejor fitness en iteración 62: 5836.0
Mejor fitness en iteración 63: 5836.0
Mejor fitness en iteración 64: 5836.0
Mejor fitness en iteración 65: 5836.0
Mejor fitness en iteración 66: 5836.0
Mejor fitness en iteración 67: 5834.0
Mejor fitness en iteración 68: 5834.0
Mejor fitness en iteración 69: 5834.0
Mejor fitness en iteración 70: 5834.0
Mejor fitness en iteración 71: 5834.0
Mejor fitness en iteración 72: 5834.0
Mejor fitness en iteración 73: 5830.0
Mejor fitness en iteración 74: 5830.0
Mejor fitness en iteración 75: 5830.0
Mejor fitness en iteración 76: 5826.0
Mejor fitness en iteración 77: 5826.0
Mejor fitness en iteración 78: 5826.0
Mejor fitness en iteración 79: 5826.0
Mejor fitness en iteración 80: 5826.0
Mejor fitness en iteración 81: 5826.0
Mejor fitness en iteración 82: 5826.0
Mejor fitness en iteración 83: 5826.0
Mejor fitness en iteración 84: 5826.0
Mejor fitness en iteración 85: 5826.0
Mejor fitness en iteración 86: 5826.0
Mejor fitness en iteración 87: 5826.0
Mejor fitness en iteración 88: 5826.0
Mejor fitness en iteración 89: 5820.0
Mejor fitness en iteración 90: 5820.0
Mejor fitness en iteración 91: 5820.0
Mejor fitness en iteración 92: 5820.0
Mejor fitness en iteración 93: 5820.0
Mejor fitness en iteración 94: 5820.0
Mejor fitness en iteración 95: 5820.0
Mejor fitness en iteración 96: 5809.0
Mejor fitness en iteración 97: 5809.0
Mejor fitness en iteración 98: 5767.0
Mejor fitness en iteración 99: 5767.0
Mejor fitness en iteración 100: 5767.0
Mejor fitness en iteración 101: 5767.0
Mejor fitness en iteración 102: 5767.0
Mejor fitness en iteración 103: 5767.0
Mejor fitness en iteración 104: 5767.0
Mejor fitness en iteración 105: 5767.0
Mejor fitness en iteración 106: 5767.0
Mejor fitness en iteración 107: 5759.0
Mejor fitness en iteración 108: 5759.0
Mejor fitness en iteración 109: 5759.0
Mejor fitness en iteración 110: 5759.0
Mejor fitness en iteración 111: 5759.0
