Configuración utilizada:
Operador de selección: Por Torneo con tamaño de torneo: 5 individuos
Operador de cruce: Cruce de arcos
Operador de mutación: Mutación por Inversión
Selector de sobrevivientes: Steady State con reemplazo de 20
Fitness mejor solución:    5638.0
Costo promedio (Población): 5634,40
Tiempo total de ejecución: 911.0 ms
Tiempo promedio por generación: 0,91 ms

Evolución del Fitness en el tiempoMejor fitness en iteración 1: 11797.0
Mejor fitness en iteración 151: 5698.0
Mejor fitness en iteración 152: 5698.0
Mejor fitness en iteración 153: 5698.0
Mejor fitness en iteración 154: 5698.0
Mejor fitness en iteración 155: 5698.0
Mejor fitness en iteración 156: 5698.0
Mejor fitness en iteración 157: 5698.0
Mejor fitness en iteración 158: 5698.0
Mejor fitness en iteración 159: 5690.0
Mejor fitness en iteración 160: 5690.0
Mejor fitness en iteración 161: 5690.0
Mejor fitness en iteración 162: 5690.0
Mejor fitness en iteración 163: 5690.0
Mejor fitness en iteración 164: 5690.0
Mejor fitness en iteración 165: 5690.0
Mejor fitness en iteración 166: 5690.0
Mejor fitness en iteración 167: 5690.0
Mejor fitness en iteración 168: 5690.0
Mejor fitness en iteración 169: 5690.0
Mejor fitness en iteración 170: 5690.0
Mejor fitness en iteración 171: 5690.0
Mejor fitness en iteración 172: 5690.0
Mejor fitness en iteración 173: 5690.0
Mejor fitness en iteración 174: 5690.0
Mejor fitness en iteración 175: 5690.0
Mejor fitness en iteración 176: 5690.0
Mejor fitness en iteración 177: 5690.0
Mejor fitness en iteración 178: 5690.0
Mejor fitness en iteración 179: 5690.0
Mejor fitness en iteración 180: 5690.0
Mejor fitness en iteración 181: 5690.0
Mejor fitness en iteración 182: 5690.0
Mejor fitness en iteración 183: 5690.0
Mejor fitness en iteración 184: 5690.0
Mejor fitness en iteración 185: 5690.0
Mejor fitness en iteración 186: 5690.0
Mejor fitness en iteración 187: 5690.0
Mejor fitness en iteración 188: 5682.0
Mejor fitness en iteración 189: 5682.0
Mejor fitness en iteración 190: 5682.0
Mejor fitness en iteración 191: 5682.0
Mejor fitness en iteración 192: 5664.0
Mejor fitness en iteración 193: 5658.0
Mejor fitness en iteración 194: 5658.0
Mejor fitness en iteración 195: 5658.0
Mejor fitness en iteración 196: 5658.0
Mejor fitness en iteración 197: 5658.0
Mejor fitness en iteración 198: 5658.0
Mejor fitness en iteración 199: 5658.0
Mejor fitness en iteración 200: 5658.0
Mejor fitness en iteración 201: 5658.0
Mejor fitness en iteración 202: 5658.0
Mejor fitness en iteración 203: 5658.0
Mejor fitness en iteración 204: 5658.0
Mejor fitness en iteración 205: 5658.0
Mejor fitness en iteración 206: 5658.0
Mejor fitness en iteración 207: 5658.0
Mejor fitness en iteración 208: 5658.0
Mejor fitness en iteración 209: 5658.0
Mejor fitness en iteración 210: 5658.0
Mejor fitness en iteración 211: 5658.0
Mejor fitness en iteración 212: 5658.0
Mejor fitness en iteración 213: 5658.0
Mejor fitness en iteración 214: 5658.0
Mejor fitness en iteración 215: 5658.0
Mejor fitness en iteración 216: 5658.0
Mejor fitness en iteración 217: 5658.0
Mejor fitness en iteración 218: 5658.0
Mejor fitness en iteración 219: 5656.0
Mejor fitness en iteración 220: 5656.0
Mejor fitness en iteración 221: 5656.0
Mejor fitness en iteración 222: 5656.0
Mejor fitness en iteración 223: 5656.0
Mejor fitness en iteración 224: 5656.0
Mejor fitness en iteración 225: 5656.0
Mejor fitness en iteración 226: 5656.0
Mejor fitness en iteración 227: 5656.0
Mejor fitness en iteración 228: 5656.0
Mejor fitness en iteración 229: 5656.0
Mejor fitness en iteración 230: 5656.0
Mejor fitness en iteración 231: 5656.0
Mejor fitness en iteración 232: 5656.0
Mejor fitness en iteración 233: 5656.0
Mejor fitness en iteración 234: 5656.0
Mejor fitness en iteración 235: 5656.0
Mejor fitness en iteración 236: 5656.0
Mejor fitness en iteración 237: 5656.0
Mejor fitness en iteración 238: 5656.0
Mejor fitness en iteración 239: 5656.0
Mejor fitness en iteración 240: 5656.0
Mejor fitness en iteración 241: 5656.0
Mejor fitness en iteración 242: 5656.0
Mejor fitness en iteración 243: 5656.0
Mejor fitness en iteración 244: 5656.0
Mejor fitness en iteración 245: 5656.0
Mejor fitness en iteración 246: 5656.0
Mejor fitness en iteración 247: 5656.0
Mejor fitness en iteración 248: 5656.0
Mejor fitness en iteración 249: 5656.0
Mejor fitness en iteración 250: 5656.0
Mejor fitness en iteración 251: 5656.0
Mejor fitness en iteración 252: 5656.0
Mejor fitness en iteración 253: 5656.0
Mejor fitness en iteración 254: 5656.0
Mejor fitness en iteración 255: 5656.0
Mejor fitness en iteración 256: 5656.0
Mejor fitness en iteración 257: 5656.0
Mejor fitness en iteración 258: 5656.0
Mejor fitness en iteración 259: 5656.0
Mejor fitness en iteración 260: 5656.0
Mejor fitness en iteración 261: 5656.0
Mejor fitness en iteración 262: 5656.0
Mejor fitness en iteración 263: 5656.0
Mejor fitness en iteración 264: 5656.0
Mejor fitness en iteración 265: 5656.0
Mejor fitness en iteración 266: 5656.0
Mejor fitness en iteración 267: 5656.0
Mejor fitness en iteración 268: 5656.0
Mejor fitness en iteración 269: 5656.0
Mejor fitness en iteración 270: 5656.0
Mejor fitness en iteración 271: 5656.0
Mejor fitness en iteración 272: 5656.0
Mejor fitness en iteración 273: 5656.0
Mejor fitness en iteración 274: 5656.0
Mejor fitness en iteración 275: 5656.0
Mejor fitness en iteración 276: 5656.0
Mejor fitness en iteración 277: 5656.0
Mejor fitness en iteración 278: 5656.0
Mejor fitness en iteración 279: 5656.0
Mejor fitness en iteración 280: 5656.0
Mejor fitness en iteración 281: 5656.0
Mejor fitness en iteración 282: 5656.0
Mejor fitness en iteración 283: 5650.0
Mejor fitness en iteración 284: 5650.0
Mejor fitness en iteración 285: 5640.0
Mejor fitness en iteración 286: 5640.0
Mejor fitness en iteración 287: 5640.0
Mejor fitness en iteración 288: 5640.0
Mejor fitness en iteración 289: 5638.0
Mejor fitness en iteración 290: 5638.0
Mejor fitness en iteración 291: 5638.0
Mejor fitness en iteración 292: 5638.0
Mejor fitness en iteración 293: 5638.0
Mejor fitness en iteración 294: 5638.0
Mejor fitness en iteración 295: 5638.0
Mejor fitness en iteración 296: 5638.0
Mejor fitness en iteración 297: 5638.0
Mejor fitness en iteración 298: 5638.0
Mejor fitness en iteración 299: 5638.0
Mejor fitness en iteración 300: 5638.0
Mejor fitness en iteración 301: 5638.0
Mejor fitness en iteración 302: 5638.0
Mejor fitness en iteración 303: 5638.0
Mejor fitness en iteración 304: 5638.0
Mejor fitness en iteración 305: 5638.0
Mejor fitness en iteración 306: 5638.0
Mejor fitness en iteración 307: 5638.0
Mejor fitness en iteración 308: 5638.0
Mejor fitness en iteración 309: 5638.0
Mejor fitness en iteración 310: 5638.0
Mejor fitness en iteración 311: 5638.0
Mejor fitness en iteración 312: 5638.0
Mejor fitness en iteración 313: 5638.0
Mejor fitness en iteración 314: 5638.0
Mejor fitness en iteración 315: 5638.0
Mejor fitness en iteración 316: 5638.0
