Problema: p43.atsp
Configuración utilizada:
Operador de selección: Por Torneo con tamaño de torneo: 2 individuos
Operador de cruce: Cruce de arcos
Operador de mutación: Mutación por Inversión. Probabilidad: 0.35
Selector de sobrevivientes: Steady State con reemplazo de 280
Cantidad de iteraciones: 30000
Fitness mejor solución:    5621.0
Costo promedio (Población): 5643.30
Tiempo total de ejecución: 53654.0 ms
Tiempo promedio por generación: 1.79 ms

Evolución del Fitness en el tiempoMejor fitness en iteración 1: 11515.0 Diferencia: -16660.0
Mejor fitness en iteración 2: 6485.0 Diferencia: -21379.0
Mejor fitness en iteración 3: 6442.0 Diferencia: -16292.0
Mejor fitness en iteración 4: 6198.0 Diferencia: -11275.0
Mejor fitness en iteración 5: 6164.0 Diferencia: -11121.0
Mejor fitness en iteración 6: 6147.0 Diferencia: -10936.0
Mejor fitness en iteración 7: 6112.0 Diferencia: -5919.0
Mejor fitness en iteración 8: 6008.0 Diferencia: -5956.0
Mejor fitness en iteración 9: 5999.0 Diferencia: -5761.0
Mejor fitness en iteración 10: 5999.0 Diferencia: -5710.0
Mejor fitness en iteración 11: 5949.0 Diferencia: -5725.0
Mejor fitness en iteración 12: 5924.0 Diferencia: -5683.0
Mejor fitness en iteración 13: 5924.0 Diferencia: -5622.0
Mejor fitness en iteración 14: 5897.0 Diferencia: -5630.0
Mejor fitness en iteración 15: 5875.0 Diferencia: -5623.0
Mejor fitness en iteración 16: 5842.0 Diferencia: -5649.0
Mejor fitness en iteración 17: 5842.0 Diferencia: -5599.0
Mejor fitness en iteración 18: 5842.0 Diferencia: -5547.0
Mejor fitness en iteración 19: 5816.0 Diferencia: -5541.0
Mejor fitness en iteración 20: 5834.0 Diferencia: -5537.0
Mejor fitness en iteración 21: 5817.0 Diferencia: -5550.0
Mejor fitness en iteración 22: 5792.0 Diferencia: -5581.0
Mejor fitness en iteración 23: 5786.0 Diferencia: -5582.0
Mejor fitness en iteración 24: 5774.0 Diferencia: -5620.0
Mejor fitness en iteración 25: 5770.0 Diferencia: -5581.0
Mejor fitness en iteración 26: 5763.0 Diferencia: -5520.0
Mejor fitness en iteración 27: 5763.0 Diferencia: -5581.0
Mejor fitness en iteración 28: 5752.0 Diferencia: -5511.0
Mejor fitness en iteración 29: 5746.0 Diferencia: -5470.0
Mejor fitness en iteración 30: 5740.0 Diferencia: -5477.0
Mejor fitness en iteración 31: 5740.0 Diferencia: -5511.0
Mejor fitness en iteración 32: 5740.0 Diferencia: -5487.0
Mejor fitness en iteración 33: 5740.0 Diferencia: -5429.0
Mejor fitness en iteración 34: 5730.0 Diferencia: -5418.0
Mejor fitness en iteración 35: 5729.0 Diferencia: -5467.0
Mejor fitness en iteración 36: 5726.0 Diferencia: -5453.0
Mejor fitness en iteración 37: 5714.0 Diferencia: -5401.0
Mejor fitness en iteración 38: 5710.0 Diferencia: -5397.0
Mejor fitness en iteración 39: 5710.0 Diferencia: -401.0
Mejor fitness en iteración 40: 5705.0 Diferencia: -5401.0
Mejor fitness en iteración 41: 5702.0 Diferencia: -5405.0
Mejor fitness en iteración 42: 5700.0 Diferencia: -5379.0
Mejor fitness en iteración 43: 5700.0 Diferencia: -264.0
Mejor fitness en iteración 44: 5690.0 Diferencia: -5401.0
Mejor fitness en iteración 45: 5688.0 Diferencia: -5429.0
Mejor fitness en iteración 46: 5687.0 Diferencia: -5424.0
Mejor fitness en iteración 47: 5677.0 Diferencia: -5404.0
Mejor fitness en iteración 48: 5675.0 Diferencia: -5429.0
Mejor fitness en iteración 49: 5675.0 Diferencia: -5392.0
Mejor fitness en iteración 50: 5669.0 Diferencia: -5395.0
Mejor fitness en iteración 51: 5669.0 Diferencia: -5383.0
Mejor fitness en iteración 52: 5669.0 Diferencia: -5383.0
Mejor fitness en iteración 53: 5669.0 Diferencia: -5386.0
Mejor fitness en iteración 54: 5668.0 Diferencia: -5384.0
