Configuración utilizada:
Operador de selección: Por Torneo con tamaño de torneo: 5 individuos
Operador de cruce: Cruce de Orden
Operador de mutación: Mutación por Inversión
Selector de sobrevivientes: Steady State con reemplazo de 25
Fitness mejor solución:    5625.0
Costo promedio (Población): 5625,00
Tiempo total de ejecución: 842.0 ms
Tiempo promedio por generación: 0,84 ms

Evolución del Fitness en el tiempoMejor fitness en iteración 1: 11813.0
Mejor fitness en iteración 151: 5687.0
Mejor fitness en iteración 152: 5687.0
Mejor fitness en iteración 153: 5687.0
Mejor fitness en iteración 154: 5687.0
Mejor fitness en iteración 155: 5687.0
Mejor fitness en iteración 156: 5687.0
Mejor fitness en iteración 157: 5687.0
Mejor fitness en iteración 158: 5687.0
Mejor fitness en iteración 159: 5687.0
Mejor fitness en iteración 160: 5687.0
Mejor fitness en iteración 161: 5675.0
Mejor fitness en iteración 162: 5675.0
Mejor fitness en iteración 163: 5675.0
Mejor fitness en iteración 164: 5675.0
Mejor fitness en iteración 165: 5675.0
Mejor fitness en iteración 166: 5669.0
Mejor fitness en iteración 167: 5669.0
Mejor fitness en iteración 168: 5669.0
Mejor fitness en iteración 169: 5669.0
Mejor fitness en iteración 170: 5669.0
Mejor fitness en iteración 171: 5665.0
Mejor fitness en iteración 172: 5665.0
Mejor fitness en iteración 173: 5665.0
Mejor fitness en iteración 174: 5665.0
Mejor fitness en iteración 175: 5665.0
Mejor fitness en iteración 176: 5665.0
Mejor fitness en iteración 177: 5665.0
Mejor fitness en iteración 178: 5665.0
Mejor fitness en iteración 179: 5665.0
Mejor fitness en iteración 180: 5665.0
Mejor fitness en iteración 181: 5665.0
Mejor fitness en iteración 182: 5665.0
Mejor fitness en iteración 183: 5665.0
Mejor fitness en iteración 184: 5665.0
Mejor fitness en iteración 185: 5665.0
Mejor fitness en iteración 186: 5665.0
Mejor fitness en iteración 187: 5653.0
Mejor fitness en iteración 188: 5653.0
Mejor fitness en iteración 189: 5653.0
Mejor fitness en iteración 190: 5653.0
Mejor fitness en iteración 191: 5651.0
Mejor fitness en iteración 192: 5651.0
Mejor fitness en iteración 193: 5651.0
Mejor fitness en iteración 194: 5651.0
Mejor fitness en iteración 195: 5651.0
Mejor fitness en iteración 196: 5651.0
Mejor fitness en iteración 197: 5651.0
Mejor fitness en iteración 198: 5651.0
Mejor fitness en iteración 199: 5651.0
Mejor fitness en iteración 200: 5651.0
Mejor fitness en iteración 201: 5651.0
Mejor fitness en iteración 202: 5651.0
Mejor fitness en iteración 203: 5651.0
Mejor fitness en iteración 204: 5651.0
Mejor fitness en iteración 205: 5651.0
Mejor fitness en iteración 206: 5651.0
Mejor fitness en iteración 207: 5651.0
Mejor fitness en iteración 208: 5651.0
Mejor fitness en iteración 209: 5651.0
Mejor fitness en iteración 210: 5651.0
Mejor fitness en iteración 211: 5651.0
Mejor fitness en iteración 212: 5651.0
Mejor fitness en iteración 213: 5651.0
Mejor fitness en iteración 214: 5651.0
Mejor fitness en iteración 215: 5651.0
Mejor fitness en iteración 216: 5651.0
Mejor fitness en iteración 217: 5651.0
Mejor fitness en iteración 218: 5651.0
Mejor fitness en iteración 219: 5651.0
Mejor fitness en iteración 220: 5651.0
Mejor fitness en iteración 221: 5651.0
Mejor fitness en iteración 222: 5651.0
Mejor fitness en iteración 223: 5649.0
Mejor fitness en iteración 224: 5649.0
Mejor fitness en iteración 225: 5649.0
Mejor fitness en iteración 226: 5649.0
Mejor fitness en iteración 227: 5649.0
Mejor fitness en iteración 228: 5649.0
Mejor fitness en iteración 229: 5649.0
Mejor fitness en iteración 230: 5643.0
Mejor fitness en iteración 231: 5643.0
Mejor fitness en iteración 232: 5643.0
Mejor fitness en iteración 233: 5643.0
Mejor fitness en iteración 234: 5643.0
Mejor fitness en iteración 235: 5643.0
Mejor fitness en iteración 236: 5643.0
Mejor fitness en iteración 237: 5643.0
Mejor fitness en iteración 238: 5643.0
Mejor fitness en iteración 239: 5643.0
Mejor fitness en iteración 240: 5643.0
Mejor fitness en iteración 241: 5643.0
Mejor fitness en iteración 242: 5643.0
Mejor fitness en iteración 243: 5643.0
Mejor fitness en iteración 244: 5643.0
Mejor fitness en iteración 245: 5643.0
Mejor fitness en iteración 246: 5643.0
Mejor fitness en iteración 247: 5643.0
Mejor fitness en iteración 248: 5643.0
Mejor fitness en iteración 249: 5643.0
Mejor fitness en iteración 250: 5643.0
Mejor fitness en iteración 251: 5643.0
Mejor fitness en iteración 252: 5643.0
Mejor fitness en iteración 253: 5643.0
Mejor fitness en iteración 254: 5643.0
Mejor fitness en iteración 255: 5643.0
Mejor fitness en iteración 256: 5643.0
Mejor fitness en iteración 257: 5643.0
Mejor fitness en iteración 258: 5643.0
Mejor fitness en iteración 259: 5643.0
Mejor fitness en iteración 260: 5643.0
Mejor fitness en iteración 261: 5643.0
Mejor fitness en iteración 262: 5643.0
Mejor fitness en iteración 263: 5643.0
Mejor fitness en iteración 264: 5643.0
Mejor fitness en iteración 265: 5643.0
Mejor fitness en iteración 266: 5643.0
Mejor fitness en iteración 267: 5643.0
Mejor fitness en iteración 268: 5643.0
Mejor fitness en iteración 269: 5643.0
Mejor fitness en iteración 270: 5643.0
Mejor fitness en iteración 271: 5643.0
Mejor fitness en iteración 272: 5643.0
Mejor fitness en iteración 273: 5643.0
Mejor fitness en iteración 274: 5643.0
Mejor fitness en iteración 275: 5643.0
Mejor fitness en iteración 276: 5643.0
Mejor fitness en iteración 277: 5643.0
Mejor fitness en iteración 278: 5643.0
Mejor fitness en iteración 279: 5643.0
Mejor fitness en iteración 280: 5643.0
Mejor fitness en iteración 281: 5643.0
Mejor fitness en iteración 282: 5643.0
Mejor fitness en iteración 283: 5643.0
Mejor fitness en iteración 284: 5643.0
Mejor fitness en iteración 285: 5643.0
Mejor fitness en iteración 286: 5643.0
Mejor fitness en iteración 287: 5643.0
Mejor fitness en iteración 288: 5643.0
Mejor fitness en iteración 289: 5643.0
Mejor fitness en iteración 290: 5643.0
Mejor fitness en iteración 291: 5643.0
Mejor fitness en iteración 292: 5643.0
Mejor fitness en iteración 293: 5643.0
Mejor fitness en iteración 294: 5643.0
