Problema: p43.atsp
Configuración utilizada:
Operador de selección: Por Torneo con tamaño de torneo: 2 individuos
Operador de cruce: Cruce de Orden
Operador de mutación: Mutación por Inversión. Probabilidad: 0.7
Selector de sobrevivientes: Steady State con reemplazo de 275
Cantidad de iteraciones: 50000
Fitness mejor solución:    5620.0
Costo promedio (Población): 7194.53
Tiempo total de ejecución: 864.0 ms
Tiempo promedio por generación: 0.63 ms

Evolución del Fitness en el tiempoMejor fitness en iteración 1: 11769.0 Diferencia: -16328.0
Mejor fitness en iteración 2: 11631.0 Diferencia: -16360.0
Mejor fitness en iteración 3: 11514.0 Diferencia: -16447.0
Mejor fitness en iteración 4: 6320.0 Diferencia: -16447.0
Mejor fitness en iteración 5: 6333.0 Diferencia: -16337.0
Mejor fitness en iteración 6: 6333.0 Diferencia: -16153.0
Mejor fitness en iteración 7: 6300.0 Diferencia: -11133.0
Mejor fitness en iteración 8: 6153.0 Diferencia: -11145.0
Mejor fitness en iteración 9: 6148.0 Diferencia: -11001.0
Mejor fitness en iteración 10: 6148.0 Diferencia: -10937.0
Mejor fitness en iteración 11: 6081.0 Diferencia: -5889.0
Mejor fitness en iteración 12: 6068.0 Diferencia: -5827.0
Mejor fitness en iteración 13: 6081.0 Diferencia: -5805.0
Mejor fitness en iteración 14: 6044.0 Diferencia: -5818.0
Mejor fitness en iteración 15: 5994.0 Diferencia: -5894.0
Mejor fitness en iteración 16: 5994.0 Diferencia: -5850.0
Mejor fitness en iteración 17: 5986.0 Diferencia: -5792.0
Mejor fitness en iteración 18: 5979.0 Diferencia: -5838.0
Mejor fitness en iteración 19: 5979.0 Diferencia: -5805.0
Mejor fitness en iteración 20: 5977.0 Diferencia: -5792.0
Mejor fitness en iteración 21: 5948.0 Diferencia: -5771.0
Mejor fitness en iteración 22: 5937.0 Diferencia: -5700.0
Mejor fitness en iteración 23: 5948.0 Diferencia: -5679.0
Mejor fitness en iteración 24: 5948.0 Diferencia: -5802.0
Mejor fitness en iteración 25: 5926.0 Diferencia: -5705.0
Mejor fitness en iteración 26: 5908.0 Diferencia: -5703.0
Mejor fitness en iteración 27: 5908.0 Diferencia: -5715.0
Mejor fitness en iteración 28: 5908.0 Diferencia: -5690.0
Mejor fitness en iteración 29: 5886.0 Diferencia: -5695.0
Mejor fitness en iteración 30: 5886.0 Diferencia: -5749.0
Mejor fitness en iteración 31: 5886.0 Diferencia: -5720.0
Mejor fitness en iteración 32: 5864.0 Diferencia: -5746.0
Mejor fitness en iteración 33: 5859.0 Diferencia: -5736.0
Mejor fitness en iteración 34: 5858.0 Diferencia: -5852.0
Mejor fitness en iteración 35: 5829.0 Diferencia: -5801.0
Mejor fitness en iteración 36: 5829.0 Diferencia: -5774.0
Mejor fitness en iteración 37: 5829.0 Diferencia: -5774.0
Mejor fitness en iteración 38: 5829.0 Diferencia: -5701.0
Mejor fitness en iteración 39: 5829.0 Diferencia: -5637.0
Mejor fitness en iteración 40: 5829.0 Diferencia: -5687.0
Mejor fitness en iteración 41: 5827.0 Diferencia: -5746.0
Mejor fitness en iteración 42: 5827.0 Diferencia: -5708.0
Mejor fitness en iteración 43: 5819.0 Diferencia: -5749.0
Mejor fitness en iteración 44: 5819.0 Diferencia: -5737.0
Mejor fitness en iteración 45: 5819.0 Diferencia: -5712.0
Mejor fitness en iteración 46: 5819.0 Diferencia: -5726.0
Mejor fitness en iteración 47: 5819.0 Diferencia: -5721.0
Mejor fitness en iteración 48: 5819.0 Diferencia: -5641.0
Mejor fitness en iteración 49: 5791.0 Diferencia: -5700.0
Mejor fitness en iteración 50: 5811.0 Diferencia: -5673.0
Mejor fitness en iteración 51: 5799.0 Diferencia: -5675.0
Mejor fitness en iteración 52: 5799.0 Diferencia: -5682.0
Mejor fitness en iteración 53: 5799.0 Diferencia: -5632.0
Mejor fitness en iteración 54: 5799.0 Diferencia: -5658.0
Mejor fitness en iteración 55: 5771.0 Diferencia: -5616.0
Mejor fitness en iteración 56: 5771.0 Diferencia: -5716.0
Mejor fitness en iteración 57: 5771.0 Diferencia: -5717.0
Mejor fitness en iteración 58: 5767.0 Diferencia: -5711.0
Mejor fitness en iteración 59: 5767.0 Diferencia: -5672.0
Mejor fitness en iteración 60: 5767.0 Diferencia: -5708.0
Mejor fitness en iteración 61: 5767.0 Diferencia: -5704.0
