Problema: p43.atsp
Configuración utilizada:
Operador de selección: Por Torneo con tamaño de torneo: 2 individuos
Operador de cruce: Cruce de arcos
Operador de mutación: Mutación por Inversión. Probabilidad: 0.2
Selector de sobrevivientes: Steady State con reemplazo de 10
Fitness mejor solución:    5623.0
Costo promedio (Población): 5624,12
Tiempo total de ejecución: 1413.0 ms
Tiempo promedio por generación: 1,41 ms

Evolución del Fitness en el tiempoMejor fitness en iteración 1: 17000.0 Diferencia: -11100.0
Mejor fitness en iteración 2: 11636.0 Diferencia: -16120.0
Mejor fitness en iteración 3: 6407.0 Diferencia: -16237.0
Mejor fitness en iteración 4: 6418.0 Diferencia: -10738.0
Mejor fitness en iteración 5: 6216.0 Diferencia: -10803.0
Mejor fitness en iteración 6: 6044.0 Diferencia: -5848.0
Mejor fitness en iteración 7: 6044.0 Diferencia: -5588.0
Mejor fitness en iteración 8: 6044.0 Diferencia: -624.0
Mejor fitness en iteración 9: 6010.0 Diferencia: -242.0
Mejor fitness en iteración 10: 6009.0 Diferencia: -141.0
Mejor fitness en iteración 11: 5998.0 Diferencia: -86.0
Mejor fitness en iteración 12: 5984.0 Diferencia: -60.0
Mejor fitness en iteración 13: 5964.0 Diferencia: -80.0
Mejor fitness en iteración 14: 5957.0 Diferencia: -61.0
Mejor fitness en iteración 15: 5941.0 Diferencia: -57.0
Mejor fitness en iteración 16: 5937.0 Diferencia: -54.0
Mejor fitness en iteración 17: 5920.0 Diferencia: -65.0
Mejor fitness en iteración 18: 5914.0 Diferencia: -43.0
Mejor fitness en iteración 19: 5899.0 Diferencia: -48.0
Mejor fitness en iteración 20: 5865.0 Diferencia: -76.0
Mejor fitness en iteración 21: 5855.0 Diferencia: -71.0
Mejor fitness en iteración 22: 5859.0 Diferencia: -61.0
Mejor fitness en iteración 23: 5847.0 Diferencia: -57.0
Mejor fitness en iteración 24: 5788.0 Diferencia: -103.0
Mejor fitness en iteración 25: 5782.0 Diferencia: -91.0
Mejor fitness en iteración 26: 5788.0 Diferencia: -77.0
Mejor fitness en iteración 27: 5778.0 Diferencia: -72.0
Mejor fitness en iteración 28: 5772.0 Diferencia: -75.0
Mejor fitness en iteración 29: 5769.0 Diferencia: -37.0
Mejor fitness en iteración 30: 5750.0 Diferencia: -42.0
Mejor fitness en iteración 31: 5750.0 Diferencia: -36.0
Mejor fitness en iteración 32: 5750.0 Diferencia: -26.0
Mejor fitness en iteración 33: 5750.0 Diferencia: -22.0
Mejor fitness en iteración 34: 5750.0 Diferencia: -22.0
Mejor fitness en iteración 35: 5749.0 Diferencia: -21.0
Mejor fitness en iteración 36: 5749.0 Diferencia: -19.0
Mejor fitness en iteración 37: 5750.0 Diferencia: -11.0
Mejor fitness en iteración 38: 5749.0 Diferencia: -16.0
Mejor fitness en iteración 39: 5749.0 Diferencia: -19.0
Mejor fitness en iteración 40: 5749.0 Diferencia: -19.0
Mejor fitness en iteración 41: 5750.0 Diferencia: -18.0
Mejor fitness en iteración 42: 5743.0 Diferencia: -25.0
Mejor fitness en iteración 43: 5743.0 Diferencia: -25.0
Mejor fitness en iteración 44: 5737.0 Diferencia: -29.0
Mejor fitness en iteración 45: 5730.0 Diferencia: -20.0
Mejor fitness en iteración 46: 5730.0 Diferencia: -20.0
Mejor fitness en iteración 47: 5717.0 Diferencia: -33.0
Mejor fitness en iteración 48: 5717.0 Diferencia: -33.0
Mejor fitness en iteración 49: 5707.0 Diferencia: -36.0
Mejor fitness en iteración 50: 5707.0 Diferencia: -30.0
Mejor fitness en iteración 51: 5701.0 Diferencia: -29.0
Mejor fitness en iteración 52: 5697.0 Diferencia: -30.0
Mejor fitness en iteración 53: 5691.0 Diferencia: -26.0
Mejor fitness en iteración 54: 5691.0 Diferencia: -22.0
Mejor fitness en iteración 55: 5691.0 Diferencia: -16.0
Mejor fitness en iteración 56: 5691.0 Diferencia: -10.0
Mejor fitness en iteración 57: 5679.0 Diferencia: -18.0
Mejor fitness en iteración 58: 5679.0 Diferencia: -12.0
Mejor fitness en iteración 59: 5679.0 Diferencia: -12.0
Mejor fitness en iteración 60: 5679.0 Diferencia: -12.0
Mejor fitness en iteración 61: 5679.0 Diferencia: -12.0
Mejor fitness en iteración 62: 5679.0 Diferencia: 0.0
Mejor fitness en iteración 63: 5679.0 Diferencia: 0.0
Mejor fitness en iteración 64: 5679.0 Diferencia: 0.0
Mejor fitness en iteración 65: 5679.0 Diferencia: 0.0
Mejor fitness en iteración 66: 5673.0 Diferencia: -6.0
Mejor fitness en iteración 67: 5673.0 Diferencia: -6.0
Mejor fitness en iteración 68: 5665.0 Diferencia: -14.0
Mejor fitness en iteración 69: 5665.0 Diferencia: -14.0
Mejor fitness en iteración 70: 5673.0 Diferencia: -6.0
Mejor fitness en iteración 71: 5671.0 Diferencia: -8.0
Mejor fitness en iteración 72: 5671.0 Diferencia: -6.0
Mejor fitness en iteración 73: 5671.0 Diferencia: -2.0
Mejor fitness en iteración 74: 5671.0 Diferencia: -2.0
Mejor fitness en iteración 75: 5671.0 Diferencia: -2.0
Mejor fitness en iteración 76: 5671.0 Diferencia: -2.0
Mejor fitness en iteración 77: 5671.0 Diferencia: 0.0
Mejor fitness en iteración 78: 5671.0 Diferencia: 0.0
Mejor fitness en iteración 79: 5671.0 Diferencia: 0.0
Mejor fitness en iteración 80: 5671.0 Diferencia: 0.0
Mejor fitness en iteración 81: 5671.0 Diferencia: 0.0
Mejor fitness en iteración 82: 5671.0 Diferencia: 0.0
Mejor fitness en iteración 83: 5671.0 Diferencia: 0.0
Mejor fitness en iteración 84: 5671.0 Diferencia: 0.0
Mejor fitness en iteración 85: 5671.0 Diferencia: 0.0
Mejor fitness en iteración 86: 5667.0 Diferencia: -4.0
Mejor fitness en iteración 87: 5667.0 Diferencia: -4.0
Mejor fitness en iteración 88: 5667.0 Diferencia: -4.0
Mejor fitness en iteración 89: 5667.0 Diferencia: -4.0
Mejor fitness en iteración 90: 5667.0 Diferencia: -4.0
Mejor fitness en iteración 91: 5667.0 Diferencia: -4.0
Mejor fitness en iteración 92: 5667.0 Diferencia: -4.0
Mejor fitness en iteración 93: 5667.0 Diferencia: -4.0
Mejor fitness en iteración 94: 5667.0 Diferencia: -4.0
Mejor fitness en iteración 95: 5667.0 Diferencia: 0.0
Mejor fitness en iteración 96: 5667.0 Diferencia: 0.0
Mejor fitness en iteración 97: 5667.0 Diferencia: 0.0
Mejor fitness en iteración 98: 5667.0 Diferencia: 0.0
Mejor fitness en iteración 99: 5667.0 Diferencia: 0.0
Mejor fitness en iteración 100: 5655.0 Diferencia: -12.0
Mejor fitness en iteración 101: 5655.0 Diferencia: -12.0
Mejor fitness en iteración 102: 5655.0 Diferencia: -12.0
Mejor fitness en iteración 103: 5655.0 Diferencia: -12.0
Mejor fitness en iteración 104: 5655.0 Diferencia: -12.0
Mejor fitness en iteración 105: 5655.0 Diferencia: 0.0
Mejor fitness en iteración 106: 5655.0 Diferencia: 0.0
Mejor fitness en iteración 107: 5655.0 Diferencia: 0.0
Mejor fitness en iteración 108: 5655.0 Diferencia: 0.0
Mejor fitness en iteración 109: 5655.0 Diferencia: 0.0
Mejor fitness en iteración 110: 5655.0 Diferencia: 0.0
Mejor fitness en iteración 111: 5655.0 Diferencia: 0.0
Mejor fitness en iteración 112: 5655.0 Diferencia: 0.0
Mejor fitness en iteración 113: 5655.0 Diferencia: 0.0
Mejor fitness en iteración 114: 5655.0 Diferencia: 0.0
Mejor fitness en iteración 115: 5655.0 Diferencia: 0.0
Mejor fitness en iteración 116: 5655.0 Diferencia: 0.0
Mejor fitness en iteración 117: 5655.0 Diferencia: 0.0
Mejor fitness en iteración 118: 5655.0 Diferencia: 0.0
Mejor fitness en iteración 119: 5655.0 Diferencia: 0.0
Mejor fitness en iteración 120: 5655.0 Diferencia: 0.0
Mejor fitness en iteración 121: 5655.0 Diferencia: 0.0
Mejor fitness en iteración 122: 5655.0 Diferencia: 0.0
Mejor fitness en iteración 123: 5655.0 Diferencia: 0.0
Mejor fitness en iteración 124: 5655.0 Diferencia: 0.0
Mejor fitness en iteración 125: 5655.0 Diferencia: 0.0
Mejor fitness en iteración 126: 5651.0 Diferencia: -4.0
Mejor fitness en iteración 127: 5645.0 Diferencia: -10.0
Mejor fitness en iteración 128: 5645.0 Diferencia: -10.0
Mejor fitness en iteración 129: 5641.0 Diferencia: -14.0
Mejor fitness en iteración 130: 5635.0 Diferencia: -20.0
Mejor fitness en iteración 131: 5631.0 Diferencia: -24.0
Mejor fitness en iteración 132: 5631.0 Diferencia: -14.0
Mejor fitness en iteración 133: 5631.0 Diferencia: -14.0
Mejor fitness en iteración 134: 5631.0 Diferencia: -10.0
Mejor fitness en iteración 135: 5631.0 Diferencia: -4.0
Mejor fitness en iteración 136: 5631.0 Diferencia: 0.0
Mejor fitness en iteración 137: 5629.0 Diferencia: -2.0
Mejor fitness en iteración 138: 5629.0 Diferencia: -2.0
Mejor fitness en iteración 139: 5629.0 Diferencia: -2.0
Mejor fitness en iteración 140: 5629.0 Diferencia: -2.0
Mejor fitness en iteración 141: 5629.0 Diferencia: -2.0
Mejor fitness en iteración 142: 5629.0 Diferencia: 0.0
Mejor fitness en iteración 143: 5629.0 Diferencia: 0.0
Mejor fitness en iteración 144: 5625.0 Diferencia: -4.0
Mejor fitness en iteración 145: 5625.0 Diferencia: -4.0
Mejor fitness en iteración 146: 5625.0 Diferencia: -4.0
Mejor fitness en iteración 147: 5625.0 Diferencia: -4.0
Mejor fitness en iteración 148: 5625.0 Diferencia: -4.0
Mejor fitness en iteración 149: 5625.0 Diferencia: -4.0
Mejor fitness en iteración 150: 5625.0 Diferencia: -4.0
Mejor fitness en iteración 151: 5625.0 Diferencia: -4.0
Mejor fitness en iteración 152: 5625.0 Diferencia: -4.0
Mejor fitness en iteración 153: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 154: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 155: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 156: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 157: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 158: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 159: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 160: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 161: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 162: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 163: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 164: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 165: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 166: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 167: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 168: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 169: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 170: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 171: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 172: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 173: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 174: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 175: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 176: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 177: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 178: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 179: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 180: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 181: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 182: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 183: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 184: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 185: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 186: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 187: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 188: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 189: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 190: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 191: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 192: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 193: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 194: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 195: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 196: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 197: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 198: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 199: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 200: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 201: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 202: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 203: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 204: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 205: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 206: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 207: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 208: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 209: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 210: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 211: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 212: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 213: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 214: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 215: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 216: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 217: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 218: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 219: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 220: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 221: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 222: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 223: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 224: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 225: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 226: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 227: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 228: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 229: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 230: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 231: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 232: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 233: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 234: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 235: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 236: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 237: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 238: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 239: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 240: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 241: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 242: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 243: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 244: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 245: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 246: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 247: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 248: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 249: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 250: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 251: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 252: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 253: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 254: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 255: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 256: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 257: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 258: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 259: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 260: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 261: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 262: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 263: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 264: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 265: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 266: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 267: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 268: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 269: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 270: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 271: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 272: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 273: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 274: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 275: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 276: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 277: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 278: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 279: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 280: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 281: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 282: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 283: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 284: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 285: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 286: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 287: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 288: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 289: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 290: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 291: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 292: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 293: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 294: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 295: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 296: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 297: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 298: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 299: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 300: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 301: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 302: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 303: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 304: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 305: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 306: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 307: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 308: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 309: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 310: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 311: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 312: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 313: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 314: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 315: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 316: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 317: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 318: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 319: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 320: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 321: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 322: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 323: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 324: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 325: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 326: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 327: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 328: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 329: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 330: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 331: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 332: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 333: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 334: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 335: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 336: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 337: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 338: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 339: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 340: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 341: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 342: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 343: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 344: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 345: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 346: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 347: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 348: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 349: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 350: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 351: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 352: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 353: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 354: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 355: 5625.0 Diferencia: -12.0
Mejor fitness en iteración 356: 5625.0 Diferencia: -12.0
