Configuración utilizada:
Operador de selección: Por Torneo con tamaño de torneo: 5 individuos
Operador de cruce: Cruce de arcos
Operador de mutación: Mutación por Inversión
Selector de sobrevivientes: Steady State con reemplazo de 25
Fitness mejor solución:    5654.0
Costo promedio (Población): 5648,00
Tiempo total de ejecución: 775.0 ms
Tiempo promedio por generación: 0,78 ms

Evolución del Fitness en el tiempoMejor fitness en iteración 1: 17120.0
Mejor fitness en iteración 2: 11717.0
Mejor fitness en iteración 3: 6616.0
Mejor fitness en iteración 4: 6271.0
Mejor fitness en iteración 5: 6236.0
Mejor fitness en iteración 6: 6216.0
Mejor fitness en iteración 7: 6154.0
Mejor fitness en iteración 8: 6092.0
Mejor fitness en iteración 9: 6060.0
Mejor fitness en iteración 10: 6040.0
Mejor fitness en iteración 11: 6030.0
Mejor fitness en iteración 12: 6030.0
Mejor fitness en iteración 13: 6030.0
Mejor fitness en iteración 14: 6024.0
Mejor fitness en iteración 15: 6019.0
Mejor fitness en iteración 16: 6013.0
Mejor fitness en iteración 17: 6013.0
Mejor fitness en iteración 18: 6013.0
Mejor fitness en iteración 19: 5995.0
Mejor fitness en iteración 20: 5995.0
Mejor fitness en iteración 21: 5995.0
Mejor fitness en iteración 22: 5995.0
Mejor fitness en iteración 23: 5995.0
Mejor fitness en iteración 24: 5995.0
Mejor fitness en iteración 25: 5959.0
Mejor fitness en iteración 26: 5959.0
Mejor fitness en iteración 27: 5959.0
Mejor fitness en iteración 28: 5959.0
Mejor fitness en iteración 29: 5959.0
Mejor fitness en iteración 30: 5959.0
Mejor fitness en iteración 31: 5959.0
Mejor fitness en iteración 32: 5959.0
Mejor fitness en iteración 33: 5959.0
Mejor fitness en iteración 34: 5959.0
Mejor fitness en iteración 35: 5959.0
Mejor fitness en iteración 36: 5959.0
Mejor fitness en iteración 37: 5957.0
Mejor fitness en iteración 38: 5957.0
Mejor fitness en iteración 39: 5957.0
Mejor fitness en iteración 40: 5951.0
Mejor fitness en iteración 41: 5951.0
Mejor fitness en iteración 42: 5951.0
Mejor fitness en iteración 43: 5947.0
Mejor fitness en iteración 44: 5937.0
Mejor fitness en iteración 45: 5925.0
Mejor fitness en iteración 46: 5925.0
Mejor fitness en iteración 47: 5925.0
Mejor fitness en iteración 48: 5899.0
Mejor fitness en iteración 49: 5899.0
Mejor fitness en iteración 50: 5897.0
Mejor fitness en iteración 51: 5889.0
Mejor fitness en iteración 52: 5887.0
Mejor fitness en iteración 53: 5883.0
Mejor fitness en iteración 54: 5883.0
Mejor fitness en iteración 55: 5869.0
Mejor fitness en iteración 56: 5869.0
Mejor fitness en iteración 57: 5847.0
Mejor fitness en iteración 58: 5847.0
Mejor fitness en iteración 59: 5847.0
Mejor fitness en iteración 60: 5847.0
Mejor fitness en iteración 61: 5841.0
Mejor fitness en iteración 62: 5841.0
Mejor fitness en iteración 63: 5841.0
Mejor fitness en iteración 64: 5841.0
Mejor fitness en iteración 65: 5841.0
Mejor fitness en iteración 66: 5841.0
Mejor fitness en iteración 67: 5841.0
Mejor fitness en iteración 68: 5819.0
Mejor fitness en iteración 69: 5801.0
Mejor fitness en iteración 70: 5781.0
Mejor fitness en iteración 71: 5769.0
Mejor fitness en iteración 72: 5769.0
Mejor fitness en iteración 73: 5769.0
Mejor fitness en iteración 74: 5769.0
Mejor fitness en iteración 75: 5769.0
Mejor fitness en iteración 76: 5753.0
Mejor fitness en iteración 77: 5753.0
Mejor fitness en iteración 78: 5753.0
Mejor fitness en iteración 79: 5753.0
Mejor fitness en iteración 80: 5753.0
Mejor fitness en iteración 81: 5753.0
Mejor fitness en iteración 82: 5753.0
Mejor fitness en iteración 83: 5753.0
Mejor fitness en iteración 84: 5753.0
Mejor fitness en iteración 85: 5753.0
Mejor fitness en iteración 86: 5753.0
Mejor fitness en iteración 87: 5753.0
Mejor fitness en iteración 88: 5753.0
Mejor fitness en iteración 89: 5735.0
Mejor fitness en iteración 90: 5735.0
Mejor fitness en iteración 91: 5725.0
Mejor fitness en iteración 92: 5725.0
Mejor fitness en iteración 93: 5725.0
Mejor fitness en iteración 94: 5725.0
Mejor fitness en iteración 95: 5725.0
Mejor fitness en iteración 96: 5725.0
Mejor fitness en iteración 97: 5725.0
Mejor fitness en iteración 98: 5725.0
Mejor fitness en iteración 99: 5719.0
Mejor fitness en iteración 100: 5719.0
Mejor fitness en iteración 101: 5719.0
Mejor fitness en iteración 102: 5719.0
Mejor fitness en iteración 103: 5719.0
Mejor fitness en iteración 104: 5719.0
Mejor fitness en iteración 105: 5719.0
Mejor fitness en iteración 106: 5719.0
Mejor fitness en iteración 107: 5719.0
Mejor fitness en iteración 108: 5719.0
Mejor fitness en iteración 109: 5716.0
Mejor fitness en iteración 110: 5716.0
Mejor fitness en iteración 111: 5716.0
