Problema: br17.atsp
Configuración utilizada:
Operador de selección: Por Torneo con tamaño de torneo: 5 individuos
Operador de cruce: Cruce de Orden
Operador de mutación: Mutación por Inversión. Probabilidad: 0.2
Selector de sobrevivientes: Steady State con reemplazo de 175
Fitness mejor solución:    39.0
Costo promedio (Población): 45.11
Tiempo total de ejecución: 693.0 ms
Tiempo promedio por generación: 0.14 ms

Evolución del Fitness en el tiempoMejor fitness en iteración 1: 76.0 Diferencia: -158.0
Mejor fitness en iteración 2: 66.0 Diferencia: -134.0
Mejor fitness en iteración 3: 64.0 Diferencia: -100.0
Mejor fitness en iteración 4: 55.0 Diferencia: -96.0
Mejor fitness en iteración 5: 51.0 Diferencia: -79.0
Mejor fitness en iteración 6: 49.0 Diferencia: -71.0
Mejor fitness en iteración 7: 46.0 Diferencia: -81.0
Mejor fitness en iteración 8: 41.0 Diferencia: -78.0
Mejor fitness en iteración 9: 41.0 Diferencia: -75.0
Mejor fitness en iteración 10: 39.0 Diferencia: -68.0
Mejor fitness en iteración 11: 39.0 Diferencia: -61.0
Mejor fitness en iteración 12: 39.0 Diferencia: -57.0
Mejor fitness en iteración 13: 39.0 Diferencia: -23.0
Mejor fitness en iteración 14: 39.0 Diferencia: -16.0
Mejor fitness en iteración 15: 39.0 Diferencia: -41.0
Mejor fitness en iteración 16: 39.0 Diferencia: -22.0
Mejor fitness en iteración 17: 39.0 Diferencia: -34.0
Mejor fitness en iteración 18: 39.0 Diferencia: -45.0
Mejor fitness en iteración 19: 39.0 Diferencia: -45.0
Mejor fitness en iteración 20: 39.0 Diferencia: -55.0
Mejor fitness en iteración 21: 39.0 Diferencia: -45.0
Mejor fitness en iteración 22: 39.0 Diferencia: -41.0
Mejor fitness en iteración 23: 39.0 Diferencia: -41.0
Mejor fitness en iteración 24: 39.0 Diferencia: -22.0
Mejor fitness en iteración 25: 39.0 Diferencia: -47.0
Mejor fitness en iteración 26: 39.0 Diferencia: -45.0
Mejor fitness en iteración 27: 39.0 Diferencia: -47.0
Mejor fitness en iteración 28: 39.0 Diferencia: -48.0
Mejor fitness en iteración 29: 39.0 Diferencia: -42.0
Mejor fitness en iteración 30: 39.0 Diferencia: -50.0
Mejor fitness en iteración 31: 39.0 Diferencia: -50.0
Mejor fitness en iteración 32: 39.0 Diferencia: -50.0
Mejor fitness en iteración 33: 39.0 Diferencia: -57.0
Mejor fitness en iteración 34: 39.0 Diferencia: -47.0
Mejor fitness en iteración 35: 39.0 Diferencia: -49.0
Mejor fitness en iteración 36: 39.0 Diferencia: -34.0
Mejor fitness en iteración 37: 39.0 Diferencia: -26.0
Mejor fitness en iteración 38: 39.0 Diferencia: -17.0
Mejor fitness en iteración 39: 39.0 Diferencia: -45.0
Mejor fitness en iteración 40: 39.0 Diferencia: -24.0
Mejor fitness en iteración 41: 39.0 Diferencia: -48.0
Mejor fitness en iteración 42: 39.0 Diferencia: -46.0
Mejor fitness en iteración 43: 39.0 Diferencia: -50.0
Mejor fitness en iteración 44: 39.0 Diferencia: -50.0
Mejor fitness en iteración 45: 39.0 Diferencia: -50.0
Mejor fitness en iteración 46: 39.0 Diferencia: -66.0
Mejor fitness en iteración 47: 39.0 Diferencia: -26.0
Mejor fitness en iteración 48: 39.0 Diferencia: -28.0
Mejor fitness en iteración 49: 39.0 Diferencia: -50.0
Mejor fitness en iteración 50: 39.0 Diferencia: -55.0
Mejor fitness en iteración 51: 39.0 Diferencia: -24.0
Mejor fitness en iteración 52: 39.0 Diferencia: -16.0
Mejor fitness en iteración 53: 39.0 Diferencia: -27.0
Mejor fitness en iteración 54: 39.0 Diferencia: -41.0
