Problema: p43.atsp
Configuración utilizada:
Operador de selección: Por Torneo con tamaño de torneo: 2 individuos
Operador de cruce: Cruce de Orden
Operador de mutación: Mutación por Inversión. Probabilidad: 0.5
Selector de sobrevivientes: Por Ruleta
Cantidad de iteraciones: 50000
Fitness mejor solución:    5623.0
Costo promedio (Población): 5747.94
Tiempo total de ejecución: 25969.0 ms
Tiempo promedio por generación: 0.52 ms

Evolución del Fitness en el tiempoMejor fitness en iteración 1: 11868.0 Diferencia: -16382.0
Mejor fitness en iteración 2: 11724.0 Diferencia: -16540.0
Mejor fitness en iteración 3: 11596.0 Diferencia: -16659.0
Mejor fitness en iteración 4: 11596.0 Diferencia: -16308.0
Mejor fitness en iteración 5: 11587.0 Diferencia: -11280.0
Mejor fitness en iteración 6: 11587.0 Diferencia: -10805.0
Mejor fitness en iteración 7: 11589.0 Diferencia: -10987.0
Mejor fitness en iteración 8: 11550.0 Diferencia: -10808.0
Mejor fitness en iteración 9: 6438.0 Diferencia: -16096.0
Mejor fitness en iteración 10: 11522.0 Diferencia: -5822.0
Mejor fitness en iteración 11: 11539.0 Diferencia: -11012.0
Mejor fitness en iteración 12: 6383.0 Diferencia: -16114.0
Mejor fitness en iteración 13: 6341.0 Diferencia: -10893.0
Mejor fitness en iteración 14: 6341.0 Diferencia: -16164.0
Mejor fitness en iteración 15: 6217.0 Diferencia: -11106.0
Mejor fitness en iteración 16: 6217.0 Diferencia: -10931.0
Mejor fitness en iteración 17: 6110.0 Diferencia: -11360.0
Mejor fitness en iteración 18: 6110.0 Diferencia: -11068.0
Mejor fitness en iteración 19: 6110.0 Diferencia: -5939.0
Mejor fitness en iteración 20: 6109.0 Diferencia: -10963.0
Mejor fitness en iteración 21: 6110.0 Diferencia: -5781.0
Mejor fitness en iteración 22: 6042.0 Diferencia: -10971.0
Mejor fitness en iteración 23: 6110.0 Diferencia: -5826.0
Mejor fitness en iteración 24: 6084.0 Diferencia: -5738.0
Mejor fitness en iteración 25: 6051.0 Diferencia: -10932.0
Mejor fitness en iteración 26: 6041.0 Diferencia: -5786.0
Mejor fitness en iteración 27: 6041.0 Diferencia: -5769.0
Mejor fitness en iteración 28: 6010.0 Diferencia: -11018.0
Mejor fitness en iteración 29: 6010.0 Diferencia: -11027.0
Mejor fitness en iteración 30: 5988.0 Diferencia: -10826.0
Mejor fitness en iteración 31: 6012.0 Diferencia: -10973.0
Mejor fitness en iteración 32: 5978.0 Diferencia: -10878.0
Mejor fitness en iteración 33: 5978.0 Diferencia: -10916.0
Mejor fitness en iteración 34: 5978.0 Diferencia: -5728.0
Mejor fitness en iteración 35: 5978.0 Diferencia: -11029.0
Mejor fitness en iteración 36: 5978.0 Diferencia: -5706.0
Mejor fitness en iteración 37: 5978.0 Diferencia: -5670.0
Mejor fitness en iteración 38: 5976.0 Diferencia: -10773.0
Mejor fitness en iteración 39: 5969.0 Diferencia: -10875.0
Mejor fitness en iteración 40: 5973.0 Diferencia: -10943.0
Mejor fitness en iteración 41: 5936.0 Diferencia: -10799.0
Mejor fitness en iteración 42: 5961.0 Diferencia: -10925.0
Mejor fitness en iteración 43: 5930.0 Diferencia: -11007.0
Mejor fitness en iteración 44: 5958.0 Diferencia: -10824.0
Mejor fitness en iteración 45: 5941.0 Diferencia: -5662.0
Mejor fitness en iteración 46: 5933.0 Diferencia: -5586.0
Mejor fitness en iteración 47: 5941.0 Diferencia: -11099.0
Mejor fitness en iteración 48: 5940.0 Diferencia: -5710.0
Mejor fitness en iteración 49: 5940.0 Diferencia: -5571.0
Mejor fitness en iteración 50: 5939.0 Diferencia: -10753.0
Mejor fitness en iteración 51: 5918.0 Diferencia: -5774.0
Mejor fitness en iteración 52: 5918.0 Diferencia: -10705.0
Mejor fitness en iteración 53: 5872.0 Diferencia: -5581.0
Mejor fitness en iteración 54: 5872.0 Diferencia: -5575.0
Mejor fitness en iteración 55: 5872.0 Diferencia: -5786.0
Mejor fitness en iteración 56: 5872.0 Diferencia: -5636.0
Mejor fitness en iteración 57: 5898.0 Diferencia: -5578.0
Mejor fitness en iteración 58: 5892.0 Diferencia: -5662.0
Mejor fitness en iteración 59: 5892.0 Diferencia: -5547.0
Mejor fitness en iteración 60: 5884.0 Diferencia: -10758.0
Mejor fitness en iteración 61: 5874.0 Diferencia: -5671.0
Mejor fitness en iteración 62: 5874.0 Diferencia: -5780.0
Mejor fitness en iteración 63: 5874.0 Diferencia: -10840.0
Mejor fitness en iteración 64: 5874.0 Diferencia: -5808.0
Mejor fitness en iteración 65: 5861.0 Diferencia: -10775.0
Mejor fitness en iteración 66: 5869.0 Diferencia: -10880.0
Mejor fitness en iteración 67: 5869.0 Diferencia: -5775.0
Mejor fitness en iteración 68: 5870.0 Diferencia: -10864.0
Mejor fitness en iteración 69: 5843.0 Diferencia: -5591.0
Mejor fitness en iteración 70: 5851.0 Diferencia: -10814.0
Mejor fitness en iteración 71: 5834.0 Diferencia: -11181.0
Mejor fitness en iteración 72: 5834.0 Diferencia: -10837.0
Mejor fitness en iteración 73: 5822.0 Diferencia: -10868.0
Mejor fitness en iteración 74: 5822.0 Diferencia: -5611.0
Mejor fitness en iteración 75: 5822.0 Diferencia: -5623.0
Mejor fitness en iteración 76: 5822.0 Diferencia: -5692.0
Mejor fitness en iteración 77: 5822.0 Diferencia: -5671.0
Mejor fitness en iteración 78: 5822.0 Diferencia: -5604.0
Mejor fitness en iteración 79: 5822.0 Diferencia: -5823.0
