Problema: p43.atsp
Configuración utilizada:
Operador de selección: Por Torneo con tamaño de torneo: 2 individuos
Operador de cruce: Cruce de arcos
Operador de mutación: Mutación por Inversión. Probabilidad: 0.3
Selector de sobrevivientes: Steady State con reemplazo de 90
Fitness mejor solución:    5622.0
Costo promedio (Población): 5630,59
Tiempo total de ejecución: 40519.0 ms
Tiempo promedio por generación: 1,35 ms

Evolución del Fitness en el tiempoMejor fitness en iteración 1: 17241.0 Diferencia: -10824.0
Mejor fitness en iteración 2: 12069.0 Diferencia: -10897.0
Mejor fitness en iteración 3: 11708.0 Diferencia: -11025.0
Mejor fitness en iteración 4: 6302.0 Diferencia: -11250.0
Mejor fitness en iteración 5: 6243.0 Diferencia: -10971.0
Mejor fitness en iteración 6: 6208.0 Diferencia: -5903.0
Mejor fitness en iteración 7: 6126.0 Diferencia: -5711.0
Mejor fitness en iteración 8: 6110.0 Diferencia: -5666.0
Mejor fitness en iteración 9: 6027.0 Diferencia: -5721.0
Mejor fitness en iteración 10: 6014.0 Diferencia: -5555.0
Mejor fitness en iteración 11: 5967.0 Diferencia: -5551.0
Mejor fitness en iteración 12: 5967.0 Diferencia: -5458.0
Mejor fitness en iteración 13: 5951.0 Diferencia: -5524.0
Mejor fitness en iteración 14: 5937.0 Diferencia: -5520.0
Mejor fitness en iteración 15: 5937.0 Diferencia: -5495.0
Mejor fitness en iteración 16: 5899.0 Diferencia: -5542.0
Mejor fitness en iteración 17: 5891.0 Diferencia: -5508.0
Mejor fitness en iteración 18: 5880.0 Diferencia: -5492.0
Mejor fitness en iteración 19: 5842.0 Diferencia: -5560.0
Mejor fitness en iteración 20: 5840.0 Diferencia: -5497.0
Mejor fitness en iteración 21: 5836.0 Diferencia: -5470.0
Mejor fitness en iteración 22: 5816.0 Diferencia: -5431.0
Mejor fitness en iteración 23: 5810.0 Diferencia: -5493.0
Mejor fitness en iteración 24: 5804.0 Diferencia: -5485.0
Mejor fitness en iteración 25: 5804.0 Diferencia: -5458.0
Mejor fitness en iteración 26: 5774.0 Diferencia: -5434.0
Mejor fitness en iteración 27: 5774.0 Diferencia: -5427.0
Mejor fitness en iteración 28: 5760.0 Diferencia: -5408.0
Mejor fitness en iteración 29: 5755.0 Diferencia: -5413.0
Mejor fitness en iteración 30: 5747.0 Diferencia: -5436.0
Mejor fitness en iteración 31: 5744.0 Diferencia: -5428.0
Mejor fitness en iteración 32: 5727.0 Diferencia: -5441.0
Mejor fitness en iteración 33: 5727.0 Diferencia: -5408.0
Mejor fitness en iteración 34: 5725.0 Diferencia: -5384.0
Mejor fitness en iteración 35: 5725.0 Diferencia: -5386.0
Mejor fitness en iteración 36: 5725.0 Diferencia: -5376.0
Mejor fitness en iteración 37: 5720.0 Diferencia: -5378.0
Mejor fitness en iteración 38: 5720.0 Diferencia: -194.0
Mejor fitness en iteración 39: 5717.0 Diferencia: -175.0
Mejor fitness en iteración 40: 5717.0 Diferencia: -5379.0
Mejor fitness en iteración 41: 5707.0 Diferencia: -138.0
Mejor fitness en iteración 42: 5706.0 Diferencia: -259.0
Mejor fitness en iteración 43: 5704.0 Diferencia: -130.0
Mejor fitness en iteración 44: 5702.0 Diferencia: -278.0
Mejor fitness en iteración 45: 5678.0 Diferencia: -221.0
Mejor fitness en iteración 46: 5678.0 Diferencia: -358.0
Mejor fitness en iteración 47: 5678.0 Diferencia: -240.0
Mejor fitness en iteración 48: 5678.0 Diferencia: -331.0
Mejor fitness en iteración 49: 5664.0 Diferencia: -163.0
Mejor fitness en iteración 50: 5664.0 Diferencia: -5374.0
Mejor fitness en iteración 51: 5664.0 Diferencia: -224.0
Mejor fitness en iteración 52: 5664.0 Diferencia: -109.0
Mejor fitness en iteración 53: 5664.0 Diferencia: -116.0
Mejor fitness en iteración 54: 5664.0 Diferencia: -66.0
Mejor fitness en iteración 55: 5664.0 Diferencia: -124.0
Mejor fitness en iteración 56: 5664.0 Diferencia: -66.0
Mejor fitness en iteración 57: 5662.0 Diferencia: -118.0
Mejor fitness en iteración 58: 5662.0 Diferencia: -86.0
Mejor fitness en iteración 59: 5662.0 Diferencia: -40.0
Mejor fitness en iteración 60: 5662.0 Diferencia: -40.0
Mejor fitness en iteración 61: 5660.0 Diferencia: -248.0
Mejor fitness en iteración 62: 5660.0 Diferencia: -112.0
Mejor fitness en iteración 63: 5660.0 Diferencia: -110.0
Mejor fitness en iteración 64: 5656.0 Diferencia: -84.0
Mejor fitness en iteración 65: 5656.0 Diferencia: -112.0
Mejor fitness en iteración 66: 5656.0 Diferencia: -70.0
Mejor fitness en iteración 67: 5656.0 Diferencia: -130.0
Mejor fitness en iteración 68: 5656.0 Diferencia: -200.0
Mejor fitness en iteración 69: 5656.0 Diferencia: -62.0
Mejor fitness en iteración 70: 5656.0 Diferencia: -38.0
Mejor fitness en iteración 71: 5656.0 Diferencia: -134.0
Mejor fitness en iteración 72: 5656.0 Diferencia: -88.0
